date,time,team1,team2,WIN_1,WIN_2,Handicap_1,Hand_1_odds,Handicap_2,Hand_2_odds,O,O_odds,U,U_odds
25/03,08:00,Sutherland Sharks (W),Inner West Bulls (W),1.02,11.00,-27.5,1.90,+27.5,1.85,O 142.5,1.83,U 142.5,1.90
25/03,08:00,Ehime Orange Vikings,Kumamoto Volters,2.07,1.70,+2.5,1.87,-2.5,1.87,O 160.5,1.88,U 160.5,1.85
25/03,08:00,Gifu Swoops,Yokohama Excellence,4.30,1.19,+9.5,1.87,-9.5,1.87,O 173.5,1.87,U 173.5,1.87
25/03,08:05,Yokohama B Corsairs,Shinshu Brave Warriors,1.40,2.80,-5.5,1.87,+5.5,1.87,O 152.5,1.83,U 152.5,1.91
25/03,08:05,Tokyo Alvark,Levanga Hokkaido,1.06,7.70,-14.5,1.87,+14.5,1.87,O 158.5,1.83,U 158.5,1.91
25/03,08:05,Aisin Seahorses Mikawa,Osaka Evessa,2.07,1.70,+1.5,1.93,-1.5,1.80,O 156.5,1.90,U 156.5,1.85
25/03,08:05,Gunma Crane Thunders,Akita Northern Happinets,1.57,2.32,-3.5,1.87,+3.5,1.87,O 159.5,1.83,U 159.5,1.91
25/03,08:05,Utsunomiya Brex,Sanen NeoPhoenix,1.24,3.80,-7.5,1.87,+7.5,1.87,O 149.5,1.83,U 149.5,1.91
25/03,09:00,Manly Warringah Sea Eagles,Central Coast Crusaders,2.15,1.65,+2.5,1.91,-2.5,1.82,O 148.5,1.88,U 148.5,1.87
25/03,09:00,Brisbane Capitals (W),Northside Wizards (W),3.20,1.32,+7.5,1.82,-7.5,1.93,O 149.5,1.87,U 149.5,1.87
25/03,09:00,North Gold Coast Seahawks (W),Gold Coast Rollers (W),1.15,4.90,-10.5,1.85,+10.5,1.88,O 150.5,1.85,U 150.5,1.88
25/03,09:00,Saga Ballooners,Yamagata Wyverns,1.21,4.15,-9.5,1.87,+9.5,1.87,O 154.5,1.90,U 154.5,1.83
25/03,09:00,Cathay Life (W),Taiyuan (W),1.36,3.00,-6.5,1.87,+6.5,1.87,O 138.5,1.91,U 138.5,1.83
25/03,09:05,Nagoya Diamond Dolphins,Fighting Eagles Nagoya,1.34,3.10,-6.5,1.83,+6.5,1.90,O 161.5,1.87,U 161.5,1.87
25/03,09:30,USC Rip City (W),Sunshine Coast Phoenix (W),1.19,4.30,-9.5,1.90,+9.5,1.85,O 144.5,1.85,U 144.5,1.90
25/03,10:00,Albury Wodonga Bandits,Hills Hornets,1.50,2.50,-4.5,1.87,+4.5,1.88,O 165.5,1.91,U 165.5,1.83
25/03,10:00,West Adelaide Bearcats (W),Woodville Warriors (W),-26.5,1.90,+26.5,1.85,O 145.5,1.88,U 145.5,1.87,No_bet,No_bet
25/03,10:00,South Adelaide Panthers (W),Eastern Mavericks (W),1.04,9.50,-19.5,1.83,+19.5,1.91,O 146.5,1.83,U 146.5,1.91
25/03,10:00,Southern Tigers (W),Forestville Eagles (W),2.32,1.57,+3.5,1.91,-3.5,1.83,O 143.5,1.85,U 143.5,1.88
25/03,10:00,Central Districts Lions (W),North Adelaide Rockets (W),2.07,1.70,+2.5,1.87,-2.5,1.87,O 142.5,1.87,U 142.5,1.87
25/03,10:00,Bambitious Nara,Fukuoka Rizing,2.32,1.57,+3.5,1.88,-3.5,1.85,O 157.5,1.88,U 157.5,1.85
25/03,10:00,KT Sonicboom,Changwon LG Sakers,2.60,1.47,+5.5,1.88,-5.5,1.85,O 155.5,1.90,U 155.5,1.85
25/03,10:00,Seoul Thunders,Goyang Orions,1.70,2.12,-2.5,1.90,+2.5,1.83,O 156.5,1.90,U 156.5,1.85
25/03,10:15,Newcastle Falcons,Canberra Gunners,1.52,2.42,-4.5,1.90,+4.5,1.85,O 150.5,1.85,U 150.5,1.88
25/03,10:30,Sydney City Comets,Hornsby Spiders,1.02,11.25,-24.5,1.87,+24.5,1.88,O 161.5,1.87,U 161.5,1.87
25/03,10:30,Darwin Salties (W),Southern Districts Spartans (W),1.70,2.12,-2.5,1.91,+2.5,1.83,O 150.5,1.88,U 150.5,1.85
25/03,10:35,Niigata Albirex,Chiba Jets,10.50,1.02,+17.5,1.87,-17.5,1.87,O 166.5,1.87,U 166.5,1.87
25/03,11:00,Brisbane Capitals,Northside Wizards,2.55,1.47,+4.5,1.88,-4.5,1.87,O 178.5,1.90,U 178.5,1.83
25/03,11:00,North Gold Coast Seahawks,Gold Coast Rollers,4.15,1.21,+9.5,1.91,-9.5,1.83,O 184.5,1.85,U 184.5,1.88
25/03,11:00,Aomori Watts,Altiri Chiba,3.80,1.24,+8.5,1.87,-8.5,1.87,O 163.5,1.91,U 163.5,1.83
25/03,11:00,Fukushima Firebonds,Earthfriends Tokyo Z,1.07,7.60,-13.5,1.88,+13.5,1.85,O 156.5,1.90,U 156.5,1.85
25/03,11:00,Taiwan Beer,Bank of Taiwan,2.50,1.50,+5.5,1.83,-5.5,1.91,O 156.5,1.85,U 156.5,1.88
