Championship,Team1,Team2,Time,Win1,Win1_odd,Win2,Win2_odd,Over,O_odd,Under,U_odd,One,One_odd,Two,Two_odd
Italy - Serie B,Pescara BK,PSA Sant Antimo,19:00,+18.5,1.90,-18.5,1.84,O 144.5,1.86,U 144.5,1.88,1,11.00,2,1.02
Italy - Serie B,Pielle Livorno,Omnia Basket Pavia,19:00,-11.5,1.83,+11.5,1.91,O 146.5,1.91,U 146.5,1.83,1,1.12,2,5.65
Italy - Serie B,Raggisolaris Faenza,Etrusca San Miniato,19:00,-11.5,1.93,+11.5,1.81,O 147.5,1.85,U 147.5,1.89,1,1.14,2,5.25
Italy - Serie B,Tigers Cesena,Pall 1972 Fiorenzuola,19:00,+8.5,1.84,-8.5,1.90,O 158.5,1.86,U 158.5,1.88,1,3.80,2,1.24
Italy - Serie B,Virtus Basket Padova,Brianza Casa Basket,19:00,-4.5,1.83,+4.5,1.91,O 152.5,1.86,U 152.5,1.88,1,1.48,2,2.55
Italy - Serie B,Virtus Lumezzane,Agribertocchi Orzinuovi,19:00,+5.5,1.92,-5.5,1.82,O 134.5,1.84,U 134.5,1.90,1,2.90,2,1.38
Italy - Serie B,Bava Virtus Pozzuoli,Roseto Sharks,20:00,+27.5,1.84,-27.5,1.90,O 149.5,1.91,U 149.5,1.83,1,14.50,2,1.001
Italy - Serie B,Viola Reggio Calabria,Basket Monfalcone,20:00,-1.5,1.86,+1.5,1.88,O 154.5,1.83,U 154.5,1.91,1,1.77,2,1.98
Italy - Serie B,Virtus Kleb Ragusa,Bergamo Basket 2014,20:00,-6.5,1.83,+6.5,1.91,O 152.5,1.87,U 152.5,1.87,1,1.32,2,3.20
Italy - Serie B,AP Monopoli,Juvecaserta Academy,20:30,+2.5,1.92,-2.5,1.82,O 160.5,1.88,U 160.5,1.86,1,2.20,2,1.62
Austria - Zweite Liga,Future Team Steiermark,Upper Austrian Ballers,17:00,-5.5,1.87,+5.5,1.87,O 170.5,1.87,U 170.5,1.87,1,1.41,2,2.75
Austria - Zweite Liga,Pirlo Kufstein Towers,Basket Flames,18:00,-5.5,1.81,+5.5,1.93,O 160.5,1.85,U 160.5,1.89,1,1.38,2,2.90
Finland - Korisliiga (W),Topo (W),Vimpeli Veto (W),17:00,-6.5,1.88,+6.5,1.86,O 154.5,1.84,U 154.5,1.90,1,1.35,2,3.05
