Date,Time,Team1,Team2,One_odd,Two_odd,Win1,Win1_odd,Win2,Win2_odd,O,O_odd,U,U_odd
02-Apr,15:00,Depiro BC (W),Starlites Naxxar (W),4.65,1.17,10.5,1.87,-10.5,1.87,O 125.5,1.87,U 125.5,1.87
02-Apr,15:00,Diamagen (W),ISEG Sports (W),1.78,1.98,-1.5,1.91,1.5,1.82,O 100.5,1.87,U 100.5,1.88
02-Apr,15:00,Konya BBSK,Ilkler Sehri Usak,1.65,2.15,-2.5,1.87,2.5,1.87,O 141.5,1.87,U 141.5,1.87
02-Apr,15:30,Feyenoord Basketball,Excelsior Brussels,1.38,2.9,-6.5,1.93,6.5,1.82,O 151.5,1.88,U 151.5,1.85
02-Apr,15:30,Efes,Manisa,1.11,6.4,-12.5,1.82,12.5,1.93,O 167.5,1.88,U 167.5,1.85
02-Apr,15:45,Panathinaikos,AS Apollon Patras,1.005,22,-23.5,1.91,23.5,1.9,O 153.5,1.9,U 153.5,1.91
02-Apr,15:45,TED Ankara Kolejliler,ITU Spor,1.45,2.62,-5.5,1.88,5.5,1.85,O 158.5,1.85,U 158.5,1.88
02-Apr,16:00,Frankfurt,Alba Berlin,8.5,1.08,13.5,1.9,-13.5,1.91,O 167.5,1.95,U 167.5,1.87
02-Apr,16:00,Niners Chemnitz,Rostock Seawolves,1.44,2.9,-5.5,1.95,5.5,1.87,O 169.5,1.87,U 169.5,1.95
02-Apr,16:00,Bayreuth,Mitteldeutscher,1.7,2.22,-2.5,1.91,2.5,1.9,O 169.5,1.88,U 169.5,1.93
02-Apr,16:00,Oldenburg,USC Heidelberg,1.15,5.8,-10.5,1.91,10.5,1.9,O 170.5,1.95,U 170.5,1.87
02-Apr,16:00,Eisbaren Bremerhaven,Karlsruhe Lions,1.78,1.98,-1.5,1.91,1.5,1.82,O 172.5,1.87,U 172.5,1.87
02-Apr,16:00,BMS Herlev Wolfpack,Team FOG Naestved,8.5,1.06,15.5,1.87,-15.5,1.87,O 174.5,1.9,U 174.5,1.83
02-Apr,16:00,Donar Groningen,Oostende,3.65,1.26,8.5,1.91,-8.5,1.83,O 149.5,1.87,U 149.5,1.87
02-Apr,16:00,Guantanamo (W),Sancti Spiritus (W),1.02,11.25,-18.5,1.87,18.5,1.87,O 126.5,1.87,U 126.5,1.87
02-Apr,16:00,Silute,Zalgiris Kaunas II,3.15,1.33,7.5,1.83,-7.5,1.91,O 144.5,1.83,U 144.5,1.91
02-Apr,16:00,Surrey Scorchers,Newcastle Eagles,2.15,1.65,2.5,1.9,-2.5,1.85,O 166.5,1.85,U 166.5,1.9
02-Apr,16:00,AZS Politechnika Opolska,PGE Turow Zgorzelec,1.11,5.8,-12.5,1.83,12.5,1.91,O 166.5,1.87,U 166.5,1.88
02-Apr,16:00,KKS Basket Poznan,Slask Wroclaw II,1.52,2.45,-4.5,1.88,4.5,1.85,O 150.5,1.9,U 150.5,1.85
02-Apr,16:15,Lyon ASVEL (W),Bourges (W),1.57,2.32,-3.5,1.87,3.5,1.87,O 143.5,1.88,U 143.5,1.85
02-Apr,16:30,Vienna DC Timberwolves,BBC Nord Dragonz,1.33,3.2,-7.5,1.93,7.5,1.82,O 156.5,1.87,U 156.5,1.87
02-Apr,16:30,Den Helder Suns,Mons-Hainaut,4.8,1.16,12.5,1.9,-12.5,1.85,O 158.5,1.83,U 158.5,1.91
02-Apr,16:30,Club 5Basket U23,Ribeiro/Salesianos,4.5,1.18,9.5,1.87,-9.5,1.87,O 127.5,1.87,U 127.5,1.87
02-Apr,17:00,Promitheas,Peristeri,2.03,1.97,1.5,1.82,-1.5,2,O 157.5,1.95,U 157.5,1.87
02-Apr,17:00,Future Team Steiermark,Upper Austrian Ballers,1.4,2.8,-5.5,1.85,5.5,1.88,O 169.5,1.85,U 169.5,1.88
02-Apr,17:00,Vaerlose,EBAA,1.31,3.35,-7.5,1.85,7.5,1.88,O 154.5,1.85,U 154.5,1.88
02-Apr,17:00,Yoast United,Leuven Bears,2.82,1.4,6.5,1.85,-6.5,1.88,O 154.5,1.85,U 154.5,1.9
02-Apr,17:00,Aris Leeuwarden,Kangoeroes Basket Mechelen,3.15,1.33,7.5,1.91,-7.5,1.83,O 162.5,1.87,U 162.5,1.87
02-Apr,17:00,Derthona Basket,Brindisi,1.5,2.7,-4.5,1.87,4.5,1.95,O 164.5,1.88,U 164.5,1.93
02-Apr,17:00,Mestre,Capo D Orlando,1.12,5.8,-12.5,1.87,12.5,1.87,O 153.5,1.87,U 153.5,1.88
02-Apr,17:00,Al Riyadi,SC Beirut,1.29,3.4,-7.5,1.87,7.5,1.87,O 168.5,1.87,U 168.5,1.87
02-Apr,17:00,Cynergi Depiro,Mellieha Libertas,1.62,2.2,-2.5,1.82,2.5,1.91,O 165.5,1.87,U 165.5,1.87
02-Apr,17:00,Plymouth City Patriots,Leicester Riders,5.3,1.14,11.5,1.87,-11.5,1.87,O 174.5,1.88,U 174.5,1.85
02-Apr,17:00,Lusitania Basket,UD Oliveirense,1.93,1.82,1.5,1.8,-1.5,1.93,O 155.5,1.9,U 155.5,1.85
02-Apr,17:00,Galitos Barreiro,Galitos Aveiro,1.32,3.2,-7.5,1.9,7.5,1.85,O 159.5,1.9,U 159.5,1.85
02-Apr,17:00,CAB Madeira (W),Uniao Sportiva (W),3.05,1.35,6.5,1.9,-6.5,1.85,O 136.5,1.87,U 136.5,1.87
02-Apr,17:00,Miercurea Ciuc,ABC Laguna Bucuresti,1.3,3.3,-8.5,1.88,8.5,1.85,O 150.5,1.87,U 150.5,1.88
02-Apr,17:00,Mladost Zemun,Kolubara,1.47,2.57,-4.5,1.88,4.5,1.85,O 172.5,1.87,U 172.5,1.87
02-Apr,17:00,BK Novy Jicin,Basket Brno U23,1.5,2.47,-3.5,1.82,3.5,1.93,O 165.5,1.87,U 165.5,1.87
02-Apr,17:00,Torpan Pojat (W),Vimpelin Veto (W),1.36,3,-6.5,1.87,6.5,1.87,O 154.5,1.87,U 154.5,1.87
02-Apr,17:20,BC Jonava,BC Wolves Vilnius,2.2,1.65,3.5,1.82,-3.5,1.93,O 161.5,1.85,U 161.5,1.9
02-Apr,17:30,Basket Landes (W),Basket Lattes Montpellier (W),2.35,1.55,3.5,1.83,-3.5,1.91,O 138.5,1.85,U 138.5,1.9
02-Apr,17:30,Science City Jena,Art Giants Dusseldorf,1.44,2.67,-4.5,1.85,4.5,1.9,O 167.5,1.87,U 167.5,1.87
02-Apr,17:30,CD Povoa,Imortal,1.45,2.6,-4.5,1.83,4.5,1.9,O 154.5,1.91,U 154.5,1.83
02-Apr,17:30,Academia do Lumiar,SC Marinhense,3.1,1.34,6.5,1.85,-6.5,1.88,O 133.5,1.9,U 133.5,1.85
02-Apr,17:30,KK Radnicki 1950,Mladost SP,5.2,1.14,10.5,1.85,-10.5,1.85,O 165.5,1.85,U 165.5,1.85
02-Apr,17:30,Yalova Acarspor,Balikesir BSB,1.24,3.85,-8.5,1.87,8.5,1.87,O 158.5,1.87,U 158.5,1.87
02-Apr,17:30,Vysocina,Gba Sojky Pelhrimov,2.72,1.42,5.5,1.87,-5.5,1.87,O 139.5,1.85,U 139.5,1.9
02-Apr,18:00,Igokea,Cibona,1.4,2.87,-5.5,1.83,5.5,1.91,O 160.5,1.83,U 160.5,1.91
02-Apr,18:00,Klosterneuburg Dukes,BC Vienna,4.9,1.17,10.5,1.87,-10.5,1.87,O 161.5,1.87,U 161.5,1.88
02-Apr,18:00,Pirlo Kufstein Towers,Basket Flames,1.39,2.87,-6.5,1.85,6.5,1.88,O 160.5,1.87,U 160.5,1.87
02-Apr,18:00,Belgacom Spirou Charleroi II,Oxaco Boechout,7.9,1.06,15.5,1.88,-15.5,1.85,O 167.5,1.87,U 167.5,1.88
02-Apr,18:00,ASVEL Lyon-Villeurbanne,Roanne,1.18,5.2,-10.5,1.9,10.5,1.91,O 172.5,1.91,U 172.5,1.9
02-Apr,18:00,Manresa,Obradoiro,1.53,2.57,-4.5,1.93,4.5,1.88,O 165.5,1.9,U 165.5,1.91
02-Apr,18:00,Hapoel Eilat,Hapoel Tel Aviv,2.72,1.44,5.5,1.9,-5.5,1.83,O 168.5,1.83,U 168.5,1.91
02-Apr,18:00,Verona,Dinamo Sassari,3.25,1.36,6.5,1.93,-6.5,1.88,O 168.5,1.93,U 168.5,1.88
02-Apr,18:00,Tramec Cento,Blu Basket Treviglio,1.44,2.67,-4.5,1.82,4.5,1.93,O 147.5,1.85,U 147.5,1.88
02-Apr,18:00,Capitalinas (W),Camaguey (W),-29.5,1.85,29.5,1.9,O 137.5,1.87,U 137.5,1.87,No_bet,No_bet
02-Apr,18:00,KK Dinamo Zagreb,KK Bosco,1.32,3.2,-6.5,1.87,6.5,1.87,O 171.5,1.87,U 171.5,1.87
02-Apr,18:00,Bristol Flyers,London Lions,3.05,1.35,6.5,1.85,-6.5,1.9,O 164.5,1.88,U 164.5,1.85
02-Apr,18:00,Baerum,Gimle BBK,2.15,1.65,2.5,1.85,-2.5,1.9,O 165.5,1.9,U 165.5,1.85
02-Apr,18:00,A.C. Moscavide,Atletico C.P.,4.25,1.2,9.5,1.85,-9.5,1.88,O 149.5,1.88,U 149.5,1.87
02-Apr,18:00,CS Phoenix Constanta (W),FCC Baschet UAV Arad (W),2.3,1.57,3.5,1.87,-3.5,1.87,O 141.5,1.87,U 141.5,1.87
02-Apr,18:00,Gaziantep,Tofas,1.78,2.02,-1.5,1.87,1.5,1.87,O 161.5,1.85,U 161.5,1.88
02-Apr,18:00,Levharti Chomutov,BCM Orli Prostejov,1.25,3.7,-8.5,1.85,8.5,1.9,O 153.5,1.9,U 153.5,1.85
02-Apr,18:00,KTP Basket Kotka,Kataja,1.75,2.02,-2.5,1.91,2.5,1.83,O 173.5,1.83,U 173.5,1.91
02-Apr,18:30,Oberwart Gunners,SKN St. Polten,1.29,3.55,-8.5,1.87,8.5,1.87,O 154.5,1.83,U 154.5,1.91
02-Apr,18:30,Reggiana,Scafati,1.47,2.8,-5.5,1.95,5.5,1.85,O 155.5,1.91,U 155.5,1.9
02-Apr,18:30,King Szczecin,MKS Dabrowa Gornicza,1.15,5.2,-11.5,1.87,11.5,1.87,O 173.5,1.87,U 173.5,1.87
02-Apr,18:30,Portimonense,AD Galomar,1.9,1.83,1.5,1.8,-1.5,1.95,O 156.5,1.9,U 156.5,1.83
02-Apr,18:30,Olivais Futebol Clube,Basquete de Barcelos,1.02,10.75,-17.5,1.88,17.5,1.87,O 147.5,1.88,U 147.5,1.87
02-Apr,18:30,Simecq (W),Basquete de Barcelos (W),7.8,1.06,16.5,1.87,-16.5,1.87,O 143.5,1.87,U 143.5,1.87
02-Apr,18:30,Basketball Polabi,Turi Svitavy,5.9,1.11,12.5,1.87,-12.5,1.87,O 169.5,1.85,U 169.5,1.88
02-Apr,19:00,Banovici (W),Leotar 03 (W),1.12,5.7,-14.5,1.87,14.5,1.87,O 147.5,1.91,U 147.5,1.83
02-Apr,19:00,Bayern Munchen,Ludwigsburg,1.24,4.35,-9.5,1.91,9.5,1.9,O 164.5,1.88,U 164.5,1.93
02-Apr,19:00,WWU Baskets Münster,AstroStars Bochum,2.42,1.53,3.5,1.91,-3.5,1.82,O 169.5,1.87,U 169.5,1.87
